timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 8 9 0.39718826022275655 0.0028117397772434716
2 10 11 0.397033906549114 0.002966093450885998
3 8 9 0.39227283114317174 0.0077271688568282815
3 10 11 0.39345270908879476 0.006547290911205261
3 15 16 0.3972075067395371 0.002792493260462936
4 3 4 0.3972948259433661 0.0027051740566338967
4 8 9 0.38674512781253456 0.01325487218746546
5 3 4 0.3939852017987061 0.006014798201293914
5 4 5 0.3994055970181413 5.944029818586993E-4
6 3 4 0.39122929987429617 0.008770700125703856
7 3 4 0.3931881060875328 0.006811893912467226
8 1 2 0.39700518503329024 0.00299481496670978
9 1 2 0.3919467885717892 0.008053211428210805
10 1 2 0.38972964734462845 0.010270352655371573
30 9 18 0.39142937695009217 0.008570623049907855
36 7 16 0.3999546439345058 4.535606549421756E-5
38 3 17 0.32001357711512923 0.07998642288487079
39 3 17 0.3608941572012221 0.039105842798777934
43 7 16 0.35385275858447 0.046147241415530005
44 7 16 0.37524259338287275 0.024757406617127276
56 4 5 0.3897934077013541 0.0102065922986459
